# adapted from Harper et al. 2023
LCCS Class |BREV|BRDE|NEEV| NEDE|H|P| C | bare|urban|water|ice|no Data
0|0|0|0|0|0|0|0|0|0|0|0|100
10|2.5|2.1|0.4|0|5|0|90|0|0|0|0|0
11|1.6|1.6|0.3|0.1|5|41.4|50|0|0|0|0|0
12|15.7|2.4|0.3|0|5|50|26.6|0|0|0|0|0
20|0.3|0.8|0.1|0|8.7|0|90|0|0|0.1|0|0
30|13.6|3.6|1.1|0|5|11.3|65.4|0|0|0|0|0
40|13.8|5.5|1.8|0.1|35|13|30.8|0|0|0|0|0
50|93.6|3.5|0|0|2.9|0|0|0|0|0|0|0
60|0|91.7|0|0|8.3|0|0|0|0|0|0|0
61|0|91.5|0|0|8.5|0|0|0|0|0|0|0
62|0|27.2|0|0|72.8|0|0|0|0|0|0|0
70|0|5|87.6|0|7.1|0|0|0|0|0.3|0|0
71|0|5|84.3|0|10|0|0|0|0|0.7|0|0
72|0|0|26.1|0|72.6|0|0|0|0|1.3|0|0
80|0|0|0|51.9|48|0|0|0|0|0.1|0|0
81|0|0|0|84.1|15.4|0|0|0|0|0.5|0|0
82|0|0|0|17.1|82.9|0|0|0|0|0|0|0
90|3|31|42|3.8|20|0|0|0|0|0.2|0|0
100|9.5|7|10.2|1.2|72|0|0|0|0|0.1|0|0
110|2.4|6.1|1|0.3|90.2|0|0|0|0|0|0|0
120|7|17.6|7.3|1.5|66.6|0|0|0|0|0|0|0
121|24.1|15.3|0.9|0|59.7|0|0|0|0|0|0|0
122|10.3|25.7|4.2|0|59.7|0|0|0|0|0.1|0|0
130|1.2|1.1|0.3|0.1|97.3|0|0|0|0|0|0|0
140|0|0|0|0|99.1|0|0|0|0|0.9|0|0
150|0|0|0.1|0|13.7|0|0|86|0|0.2|0|0
151|0|0|0|0|14|0|0|86|0|0|0|0
152|0|0.1|1.5|0.3|12.1|0|0|85.8|0|0.2|0|0
153|0|0|0|0|14|0|0|86|0|0|0|0
160|49.3|8|16.9|3.1|22.4|0|0|0|0|0.3|0|0
170|50.3|5.6|0.4|2.1|39.3|0|0|0|0|2.3|0|0
180|3.8|7|21.6|3|64|0|0|0|0|0.6|0|0
190|0.2|0.4|0.3|0|25.1|0|0|0|74|0|0|0
200|0|0|0|0|0|0|0|100|0|0|0|0
201|0|0|0|0|0|0|0|100|0|0|0|0
202|0|0|0|0|0|0|0|100|0|0|0|0
210|0|0|0|0|0|0|0|0|0|100|0|0
220|0|0|0|0|0|0|0|0|0|0|100|0
