# adapted from Harper et al. 2023
LCCS Class |E|D|S| H|P| C | bare|urban|water|ice|no Data
0|0|0|0|0|0|0|0|0|0|0|100
10|2.9|2.1|0|5|0|90|0|0|0|0|0
11|1.9|1.7|0|5|41.4|50|0|0|0|0|0
12|16|2.4|0|5|50|26.6|0|0|0|0|0
20|0.4|0.8|0|8.7|0|90|0|0|0.1|0|0
30|14.7|3.6|0|5|11.3|65.4|0|0|0|0|0
40|15.6|5.6|0|35|13|30.8|0|0|0|0|0
50|93.6|3.5|0|2.9|0|0|0|0|0|0|0
60|0|71.7|20|8.3|0|0|0|0|0|0|0
61|0|76.5|15|8.5|0|0|0|0|0|0|0
62|0|24.5|0|65.5|0|0|10|0|0|0|0
70|62.6|0|30|7.1|0|0|0|0|0.3|0|0
71|70.3|0|19|10|0|0|0|0|0.7|0|0
72|18.1|0|0|50.6|0|0|30|0|1.3|0|0
80|0|41.9|10|48|0|0|0|0|0.1|0|0
81|0|84.1|0|15.4|0|0|0|0|0.5|0|0
82|0|12|0|58|0|0|30|0|0|0|0
90|40.7|31.1|0|18.1|0|0|10|0|0.1|0|0
100|20|4.2|4.2|71.5|0|0|0|0|0.1|0|0
110|3.4|3.2|3.2|90.2|0|0|0|0|0|0|0
120|1.5|1.3|23.9|53.3|0|0|20|0|0|0|0
121|9|2.3|20.9|47.8|0|0|20|0|0|0|0
122|2.6|2|27.4|47.8|0|0|20|0|0.2|0|0
130|0.9|0.7|0|58.4|0|0|40|0|0|0|0
140|0|0|0|59.1|0|0|40|0|0.9|0|0
150|0.1|0|0|13.7|0|0|86|0|0.2|0|0
151|0|0|0|14|0|0|86|0|0|0|0
152|0|0|1.9|12.1|0|0|85.8|0|0.2|0|0
153|0|0|0|14|0|0|86|0|0|0|0
160|53|8.9|0|17.8|0|0|20|0|0.3|0|0
170|40.9|5.6|0|31.2|0|0|20|0|2.3|0|0
180|2.4|0.7|21.3|45|0|0|30|0|0.6|0|0
190|0.5|0.4|0|25.1|0|0|0|73.7|0.3|0|0
200|0|0|0|0|0|0|100|0|0|0|0
201|0|0|0|0|0|0|100|0|0|0|0
202|0|0|0|0|0|0|100|0|0|0|0
210|0|0|0|0|0|0|0|0|100|0|0
220|0|0|0|0|0|0|0|0|0|100|0
